n,wr,pnl,avg,pf,max_dd,days,per_day,wins,losses,gross_win,gross_loss,period,base_thr,delta,kind
1638,0.7374847374847375,137385.78125,83.87410332722833,3.7269938802524316,-2896.291666666657,68,24.08823529411765,1208,430,187765.71875,50379.9375,OOS,0.65,0.0,baseline
1677,0.731067382230173,138256.15625,82.4425499403697,3.513045784928304,-3175.6875,70,23.957142857142856,1226,451,193271.53125,55015.375,OOS,0.65,-0.02,overlay
41,0.43902439024390244,320.31249999999955,7.812499999999989,1.061770803201234,0.0,7,5.857142857142857,18,23,5505.8125,5185.500000000001,OOS,0.65,-0.02,marginal
1701,0.7301587301587301,140955.35416666666,82.86616941015089,3.502857483187848,-3686.093749999971,70,24.3,1242,459,197273.125,56317.770833333336,OOS,0.65,-0.05,overlay
67,0.5074626865671642,2484.28125,37.078824626865675,1.3537287532259499,0.0,9,7.444444444444445,34,33,9507.40625,7023.125,OOS,0.65,-0.05,marginal
1723,0.7283807312826466,143036.97916666666,83.0162386341652,3.4526563932266456,-3746.6874999999854,72,23.930555555555557,1255,468,201356.1875,58319.208333333336,OOS,0.65,-0.08,overlay
90,0.5222222222222223,4330.635416666666,48.11817129629629,1.4676796288630103,0.0,12,7.5,47,43,13590.46875,9259.833333333334,OOS,0.65,-0.08,marginal
1809,0.7274737423991156,153937.42708333334,85.09531624285978,3.4348022006483583,-3752.520833333314,72,25.125,1316,493,217161.21875,63223.791666666664,OOS,0.65,-0.12,overlay
177,0.6101694915254238,14965.708333333332,84.55202448210922,2.037139598342549,0.0,15,11.8,108,69,29395.5,14429.791666666668,OOS,0.65,-0.12,marginal
1342,0.7593144560357675,111399.83333333333,83.01030799801292,4.459940030722284,-2738.8125,55,24.4,1019,323,143596.875,32197.04166666667,OOS,0.7,0.0,baseline
1371,0.7549234135667396,112631.58333333333,82.15286895210309,4.282136773203399,-3011.5208333333285,56,24.482142857142858,1035,336,146948.125,34316.54166666667,OOS,0.7,-0.02,overlay
29,0.5517241379310345,1231.75,42.474137931034484,1.5811512149091766,0.0,5,5.8,16,13,3351.25,2119.5,OOS,0.7,-0.02,marginal
1392,0.7535919540229885,115424.42708333333,82.91984704262451,4.260555928604511,-3011.5208333333285,58,24.0,1049,343,150824.65625,35400.22916666667,OOS,0.7,-0.05,overlay
55,0.6,4475.291666666666,81.36893939393939,2.27070529011955,0.0,9,6.111111111111111,33,22,7997.1875,3521.8958333333326,OOS,0.7,-0.05,marginal
1420,0.7535211267605634,119410.94791666666,84.092216842723,4.270534112014881,-3050.2083333333285,58,24.482758620689655,1070,350,155922.09375,36511.145833333336,OOS,0.7,-0.08,overlay
84,0.6428571428571429,8223.145833333334,97.89459325396827,2.6880182696049704,0.0,11,7.636363636363637,54,30,13094.625,4871.479166666668,OOS,0.7,-0.08,marginal
1476,0.7398373983739838,118232.11458333334,80.10305866079494,3.725228649386346,-3368.25,60,24.6,1092,384,161616.40625,43384.29166666667,OOS,0.7,-0.12,overlay
141,0.5390070921985816,6770.125,48.01507092198582,1.5632940026312916,0.0,15,9.4,76,65,18788.9375,12018.8125,OOS,0.7,-0.12,marginal
1081,0.7918593894542091,94258.32291666667,87.19548835954363,5.982890173537726,-778.6979166666715,41,26.365853658536587,856,225,113174.71875,18916.395833333336,OOS,0.75,0.0,baseline
1090,0.789908256880734,94564.625,86.75653669724771,5.79501684398006,-778.6979166666715,43,25.348837209302324,861,229,114286.0625,19721.4375,OOS,0.75,-0.02,overlay
9,0.5555555555555556,306.30208333333326,34.03356481481481,1.380479788830806,0.0,5,1.8,5,4,1111.34375,805.0416666666666,OOS,0.75,-0.02,marginal
1095,0.7881278538812785,94510.92708333334,86.31134893455099,5.642536828478303,-854.0,45,24.333333333333332,863,232,114868.53125,20357.604166666664,OOS,0.75,-0.05,overlay
16,0.5625,697.1041666666667,43.56901041666667,1.4836942380525604,0.0,8,2.0,9,7,2138.3125,1441.208333333333,OOS,0.75,-0.05,marginal
1119,0.7828418230563002,95265.52083333334,85.13451370271076,5.272192019253497,-1672.5,48,23.3125,876,243,117564.5,22298.979166666668,OOS,0.75,-0.08,overlay
42,0.5238095238095238,1171.0937499999998,27.88318452380952,1.3167258282623395,0.0,11,3.8181818181818183,22,20,4868.59375,3697.5,OOS,0.75,-0.08,marginal
1174,0.7759795570698467,100520.23958333333,85.62200986655309,4.93690752251598,-1570.0,51,23.019607843137255,911,263,126053.03125,25532.791666666664,OOS,0.75,-0.12,overlay
93,0.5913978494623656,6261.916666666667,67.33243727598567,1.9464241294511424,0.0,16,5.8125,55,38,12878.3125,6616.395833333334,OOS,0.75,-0.12,marginal
