n,wr,pnl,avg,pf,max_dd,days,per_day,wins,losses,gross_win,gross_loss,period,base_thr,delta,kind
158,0.740506329113924,13628.083333333336,86.25369198312238,4.002166210783324,0.0,65,2.4307692307692306,117,41,18167.5,4539.416666666667,PURE_OOS_22_24,0.7,-0.02,marginal
6272,0.8003826530612245,568430.3333333334,90.62983630952381,5.631809533380684,-1316.5833333333721,428,14.654205607476635,5020,1252,691153.5,122723.16666666667,PURE_OOS_22_24,0.7,-0.05,overlay
432,0.6990740740740741,33755.39583333333,78.13749035493827,3.8675577092230338,0.0,99,4.363636363636363,302,130,45526.875,11771.479166666666,PURE_OOS_22_24,0.7,-0.05,marginal
6622,0.7937179099969798,592910.5,89.53646934460888,5.490757480005586,-1481.8958333333721,440,15.05,5256,1366,724939.5625,132029.0625,PURE_OOS_22_24,0.7,-0.08,overlay
778,0.6889460154241646,57611.072916666664,74.05022225792631,3.7703680290768617,0.0,122,6.377049180327869,536,242,78406.53125,20795.458333333332,PURE_OOS_22_24,0.7,-0.08,marginal
7081,0.7827990396836605,617847.5833333333,87.25428376406344,5.31654935527616,-1481.8958333333721,459,15.427015250544663,5543,1538,760982.1875,143134.60416666666,PURE_OOS_22_24,0.7,-0.12,overlay
1248,0.6626602564102564,82460.88541666666,66.07442741720085,3.530133093154981,0.0,145,8.606896551724137,827,421,115052.40625,32591.520833333332,PURE_OOS_22_24,0.7,-0.12,marginal
3863,0.825783070152731,363389.4791666667,94.06924130641126,6.65982962781013,-815.729166666657,255,15.149019607843137,3190,673,427594.5,64205.020833333336,PURE_OOS_22_24,0.75,0.0,baseline
3954,0.8249873545776429,371998.5520833334,94.0815761465183,6.626481147937706,-815.729166666657,261,15.149425287356323,3262,692,438114.21875,66115.66666666666,PURE_OOS_22_24,0.75,-0.02,overlay
92,0.782608695652174,8404.322916666666,91.35133605072463,4.972931582938575,0.0,39,2.358974358974359,72,20,10519.71875,2115.3958333333335,PURE_OOS_22_24,0.75,-0.02,marginal
4153,0.8215747652299542,389169.0208333334,93.70792700056185,6.474677133748366,-931.572916666657,272,15.268382352941176,3412,741,460254.3125,71085.29166666667,PURE_OOS_22_24,0.75,-0.05,overlay
302,0.7682119205298014,27192.822916666664,90.04245998896246,4.788312513786178,0.0,64,4.71875,232,70,34370.90625,7178.083333333333,PURE_OOS_22_24,0.75,-0.05,marginal
4389,0.8147641831852358,406044.3541666667,92.51409299764563,6.258461237114292,-1084.885416666657,288,15.239583333333334,3576,813,483261.6875,77217.33333333333,PURE_OOS_22_24,0.75,-0.08,overlay
538,0.7360594795539034,44068.15625,81.91107109665427,4.310874710042167,0.0,83,6.481927710843373,396,142,57378.28125,13310.125,PURE_OOS_22_24,0.75,-0.08,marginal
4747,0.8030334948388456,430901.9166666667,90.77352362895864,5.960074398866558,-1244.072916666686,310,15.312903225806451,3812,935,517776.0,86874.08333333334,PURE_OOS_22_24,0.75,-0.12,overlay
897,0.705685618729097,69113.125,77.04919175027871,4.009252455982801,0.0,110,8.154545454545454,633,264,92080.0,22966.875,PURE_OOS_22_24,0.75,-0.12,marginal
1638,0.7374847374847375,137385.78125,83.87410332722833,3.7269938802524316,-2896.291666666657,68,24.08823529411765,1208,430,187765.71875,50379.9375,OOS_2026,0.65,0.0,baseline
1677,0.731067382230173,138256.15625,82.4425499403697,3.513045784928304,-3175.6875,70,23.957142857142856,1226,451,193271.53125,55015.375,OOS_2026,0.65,-0.02,overlay
41,0.43902439024390244,320.31249999999955,7.812499999999989,1.061770803201234,0.0,7,5.857142857142857,18,23,5505.8125,5185.500000000001,OOS_2026,0.65,-0.02,marginal
1701,0.7301587301587301,140955.35416666666,82.86616941015089,3.502857483187848,-3686.093749999971,70,24.3,1242,459,197273.125,56317.770833333336,OOS_2026,0.65,-0.05,overlay
67,0.5074626865671642,2484.28125,37.078824626865675,1.3537287532259499,0.0,9,7.444444444444445,34,33,9507.40625,7023.125,OOS_2026,0.65,-0.05,marginal
1723,0.7283807312826466,143036.97916666666,83.0162386341652,3.4526563932266456,-3746.6874999999854,72,23.930555555555557,1255,468,201356.1875,58319.208333333336,OOS_2026,0.65,-0.08,overlay
90,0.5222222222222223,4330.635416666666,48.11817129629629,1.4676796288630103,0.0,12,7.5,47,43,13590.46875,9259.833333333334,OOS_2026,0.65,-0.08,marginal
1809,0.7274737423991156,153937.42708333334,85.09531624285978,3.4348022006483583,-3752.520833333314,72,25.125,1316,493,217161.21875,63223.791666666664,OOS_2026,0.65,-0.12,overlay
177,0.6101694915254238,14965.708333333332,84.55202448210922,2.037139598342549,0.0,15,11.8,108,69,29395.5,14429.791666666668,OOS_2026,0.65,-0.12,marginal
1342,0.7593144560357675,111399.83333333333,83.01030799801292,4.459940030722284,-2738.8125,55,24.4,1019,323,143596.875,32197.04166666667,OOS_2026,0.7,0.0,baseline
1371,0.7549234135667396,112631.58333333333,82.15286895210309,4.282136773203399,-3011.5208333333285,56,24.482142857142858,1035,336,146948.125,34316.54166666667,OOS_2026,0.7,-0.02,overlay
29,0.5517241379310345,1231.75,42.474137931034484,1.5811512149091766,0.0,5,5.8,16,13,3351.25,2119.5,OOS_2026,0.7,-0.02,marginal
1392,0.7535919540229885,115424.42708333333,82.91984704262451,4.260555928604511,-3011.5208333333285,58,24.0,1049,343,150824.65625,35400.22916666667,OOS_2026,0.7,-0.05,overlay
55,0.6,4475.291666666666,81.36893939393939,2.27070529011955,0.0,9,6.111111111111111,33,22,7997.1875,3521.8958333333326,OOS_2026,0.7,-0.05,marginal
