ts_pdt,strategy,side,entry,exit,pnl_pts,pnl_dollars,size,order_id,entry_order_id,fire_ts_pdt,fired_tp_dist,fired_sl_dist,dead_tape_clipped,vol_bp_at_fire,regime_at_fire,v18_proba,v18_decision,mfe_pts,mae_pts,horizon_close,cf_pnl_designed_tp,cf_pnl_designed_sl,cf_pnl_at_125_10,cf_pnl_at_25_10
2026-04-18 01:58:55-07:00,DynamicEngine3,LONG,7035.75,7025.75,-10.0,-51.24,1,500129,500128,,,,False,,,,,,,,,,,
2026-04-18 01:58:56-07:00,DynamicEngine3,SHORT,7026.25,7036.25,-10.0,-153.72,3,500132,500131,,,,False,,,,,,,,,,,
2026-04-18 01:59:06-07:00,DynamicEngine3,LONG,7035.0,7060.0,25.0,371.28,3,500136,500134,,,,False,,,,,,,,,,,
2026-04-18 01:59:35-07:00,DynamicEngine3,LONG,7059.0,7072.5,13.5,198.78,3,500140,500137,,,,False,,,,,,,,,,,
2026-04-18 01:59:57-07:00,DynamicEngine3,LONG,7070.5,7060.5,-10.0,-153.72,3,500150,500149,,,,False,,,,,,,,,,,
2026-04-18 02:00:06-07:00,DynamicEngine3,LONG,7060.5,7063.75,3.25,30.02,2,500153,500152,,,,False,,,,,,,,,,,
2026-04-18 02:00:07-07:00,DynamicEngine3,LONG,7053.5,7054.5,1.0,11.28,3,500158,500155,,,,False,,,,,,,,,,,
2026-04-18 02:00:08-07:00,DynamicEngine3,SHORT,7054.5,7062.5,-8.0,-82.48,2,500160,500159,,,,False,,,,,,,,,,,
2026-04-18 02:00:11-07:00,DynamicEngine3,LONG,7052.25,7077.25,25.0,371.28,3,500164,500162,,,,False,,,,,,,,,,,
2026-04-18 02:00:12-07:00,DynamicEngine3,LONG,7079.0,7069.0,-10.0,-51.24,1,500166,500165,,,,False,,,,,,,,,,,
2026-04-18 02:00:13-07:00,DynamicEngine3,LONG,7069.0,7073.0,4.0,18.76,1,500169,500168,,,,False,,,,,,,,,,,
2026-04-18 02:00:23-07:00,DynamicEngine3,LONG,7074.25,7077.75,3.5,16.26,1,500172,500171,,,,False,,,,,,,,,,,
2026-04-18 02:00:23-07:00,DynamicEngine3,LONG,7078.75,7068.75,-10.0,-102.48,2,500175,500174,,,,False,,,,,,,,,,,
2026-04-18 02:00:25-07:00,DynamicEngine3,LONG,7065.75,7069.0,3.25,15.01,1,500178,500177,,,,False,,,,,,,,,,,
2026-04-18 02:00:26-07:00,DynamicEngine3,LONG,7069.25,7059.25,-10.0,-102.48,2,500181,500180,,,,False,,,,,,,,,,,
2026-04-18 02:00:27-07:00,DynamicEngine3,SHORT,7063.25,7071.5,-8.25,-127.47,3,500186,500183,,,,False,,,,,,,,,,,
2026-04-18 02:00:29-07:00,DynamicEngine3,LONG,7071.5,7061.5,-10.0,-153.72,3,500188,500187,,,,False,,,,,,,,,,,
2026-04-18 02:01:05-07:00,DynamicEngine3,LONG,7063.75,7076.75,13.0,191.28,3,500191,500190,,,,False,,,,,,,,,,,
2026-04-18 02:01:35-07:00,DynamicEngine3,LONG,7089.5,7114.5,25.0,371.28,3,500220,500218,,,,False,,,,,,,,,,,
2026-04-18 02:01:37-07:00,DynamicEngine3,LONG,7115.25,7128.25,13.0,191.28,3,500231,500230,,,,False,,,,,,,,,,,
2026-04-18 02:01:38-07:00,DynamicEngine3,LONG,7130.5,7140.5,10.0,48.76,1,500234,500233,,,,False,,,,,,,,,,,
2026-04-18 02:01:39-07:00,DynamicEngine3,LONG,7140.5,7132.5,-8.0,-41.24,1,500237,500236,,,,False,,,,,,,,,,,
2026-04-18 02:01:39-07:00,DynamicEngine3,LONG,7133.75,7125.75,-8.0,-123.72,3,500240,500239,,,,False,,,,,,,,,,,
2026-04-18 02:01:40-07:00,DynamicEngine3,LONG,7121.25,7134.0,12.75,187.53,3,500245,500242,,,,False,,,,,,,,,,,
2026-04-18 02:01:40-07:00,DynamicEngine3,SHORT,7134.0,7132.0,2.0,17.52,2,500247,500246,,,,False,,,,,,,,,,,
2026-04-18 02:01:40-07:00,DynamicEngine3,LONG,7125.75,7117.75,-8.0,-41.24,1,500250,500249,,,,False,,,,,,,,,,,
2026-04-18 02:01:41-07:00,DynamicEngine3,LONG,7127.25,7147.25,20.0,98.76,1,500254,500252,,,,False,,,,,,,,,,,
2026-04-18 02:01:42-07:00,DynamicEngine3,SHORT,7146.5,7150.5,-4.0,-42.48,2,500258,500255,,,,False,,,,,,,,,,,
2026-04-18 02:01:44-07:00,DynamicEngine3,LONG,7150.5,7162.75,12.25,60.01,1,500262,500259,,,,False,,,,,,,,,,,
2026-04-18 02:01:44-07:00,DynamicEngine3,SHORT,7162.75,7170.0,-7.25,-74.98,2,500266,500263,,,,False,,,,,,,,,,,
2026-04-18 02:01:47-07:00,DynamicEngine3,LONG,7170.0,7160.0,-10.0,-51.24,1,500268,500267,,,,False,,,,,,,,,,,
2026-04-18 02:01:48-07:00,DynamicEngine3,LONG,7162.5,7168.75,6.25,90.03,3,500271,500270,,,,False,,,,,,,,,,,
2026-04-18 02:02:05-07:00,DynamicEngine3,LONG,7168.5,7172.75,4.25,20.01,1,500274,500273,,,,False,,,,,,,,,,,
2026-04-18 02:02:06-07:00,DynamicEngine3,LONG,7169.75,7159.75,-10.0,-102.48,2,500277,500276,,,,False,,,,,,,,,,,
2026-04-18 02:02:07-07:00,DynamicEngine3,LONG,7157.0,7161.0,4.0,37.52,2,500282,500279,,,,False,,,,,,,,,,,
2026-04-18 02:02:09-07:00,DynamicEngine3,SHORT,7161.0,7163.75,-2.75,-44.97,3,500286,500283,,,,False,,,,,,,,,,,
2026-04-18 02:02:10-07:00,DynamicEngine3,LONG,7163.75,7153.75,-10.0,-153.72,3,500288,500287,,,,False,,,,,,,,,,,
2026-04-18 02:02:12-07:00,DynamicEngine3,LONG,7155.5,7158.0,2.5,22.52,2,500291,500290,,,,False,,,,,,,,,,,
2026-04-20 07:05:48-07:00,DynamicEngine3,SHORT,7156.25,7155.5,0.75,6.26,2,2848312091,2848312089,2026-04-20 07:00:16-07:00,12.5,10.0,False,,calm_trend,,,10.25,0.5,,,,,
2026-04-20 07:31:29-07:00,DynamicEngine3,LONG,7154.25,7144.25,-10.0,-50.62,1,2848499959,2848499957,2026-04-20 07:08:02-07:00,25.0,10.0,False,,calm_trend,,,2.75,11.25,,,,,
2026-04-20 07:43:25-07:00,DynamicEngine3,LONG,7149.5,7139.5,-10.0,-151.86,3,2849070836,2849070835,2026-04-20 07:32:14-07:00,25.0,10.0,False,,calm_trend,,,0.0,24.25,,,,,
2026-04-20 08:04:20-07:00,DynamicEngine3,LONG,7136.5,7126.5,-10.0,-151.86,3,2849506877,2849506875,2026-04-20 07:52:13-07:00,25.0,10.0,False,,calm_trend,,,4.0,15.25,,,,,
2026-04-20 13:05:04-07:00,DynamicEngine3,LONG,7148.5,7147.75,-0.75,-4.37,1,2851939481,2851933524,2026-04-20 13:03:18-07:00,3.0,5.0,True,,dead_tape,,,3.0,3.0,,,,1.25,1.25
2026-04-20 17:44:58-07:00,DynamicEngine3,LONG,7152.75,7152.75,0.0,-0.62,1,2852583412,2852583411,2026-04-20 17:31:20-07:00,3.0,5.0,True,,dead_tape,,,8.0,2.5,,,,21.25,21.25
2026-04-21 02:01:18-07:00,DynamicEngine3,LONG,7158.25,7162.5,4.25,20.63,1,2853708190,2853708189,2026-04-21 00:07:14-07:00,25.0,10.0,False,,calm_trend,,,2.75,1.5,,,,,
2026-04-21 04:09:35-07:00,DynamicEngine3,LONG,7161.0,7169.75,8.75,43.13,1,2854008469,2854008468,2026-04-21 02:07:46-07:00,25.0,10.0,False,,calm_trend,,,0.75,3.5,,,,,
2026-04-21 05:04:20-07:00,DynamicEngine3,LONG,7172.25,7174.5,2.25,31.89,3,2854257551,2854257550,2026-04-21 04:16:14-07:00,25.0,10.0,False,,calm_trend,,,11.25,0.0,,,,,
2026-04-21 05:38:46-07:00,DynamicEngine3,LONG,7174.75,7164.75,-10.0,-101.24,2,2854417346,2854417345,2026-04-21 05:05:15-07:00,25.0,10.0,False,,calm_trend,,,2.75,8.0,,,,,
2026-04-21 07:58:26-07:00,DynamicEngine3,LONG,7148.5,7138.5,-10.0,-151.86,3,2857114977,2857114975,2026-04-21 07:52:17-07:00,25.0,10.0,False,,calm_trend,,,3.0,28.25,,,,,
2026-04-21 08:01:27-07:00,DynamicEngine3,LONG,7137.25,7127.25,-10.0,-151.86,3,2857289440,2857289439,,,,False,,calm_trend,,,,,,,,,
2026-04-21 10:19:17-07:00,DynamicEngine3,SHORT,7106.5,7099.5,7.0,34.38,1,2858896123,2858896121,2026-04-21 10:17:03-07:00,7.0,10.0,False,,calm_trend,,,10.0,26.5,,,,,
2026-04-21 10:32:18-07:00,DynamicEngine3,SHORT,7099.5,7109.5,-10.0,-50.62,1,2858937979,2858937978,2026-04-21 10:21:19-07:00,7.0,10.0,False,,calm_trend,,,0.25,33.25,,,,,
2026-04-21 12:50:04-07:00,DynamicEngine3,SHORT,7094.0,7104.0,-10.0,-101.24,2,2859909544,2859909542,2026-04-21 12:46:15-07:00,19.75,10.0,False,,neutral,,,1.5,46.75,,,,,
2026-04-21 23:08:02-07:00,DynamicEngine3,LONG,7134.0,7137.25,3.25,46.89,3,2860682495,2860682494,,,,False,,calm_trend,,,,,,,,,
2026-04-22 00:31:22-07:00,DynamicEngine3,LONG,7143.0,7144.25,2.25,30.65,3,2861764137,2861747403,2026-04-22 00:24:17-07:00,12.5,10.0,False,,calm_trend,,,5.0,0.5,,,,,
2026-04-22 01:47:19-07:00,DynamicEngine3,LONG,7136.75,7134.0,-3.25,-51.85,3,2861948748,2861877798,2026-04-22 01:21:14-07:00,12.5,10.0,False,,calm_trend,,,1.5,7.25,,,,,
2026-04-22 05:29:54-07:00,DynamicEngine3,LONG,7134.5,7148.25,13.75,68.13,1,2862091679,2862091678,,,,False,,neutral,,,,,,,,,
2026-04-22 05:49:17-07:00,DynamicEngine3,LONG,7148.25,7140.25,-8.0,-81.24,2,2862546516,2862546515,2026-04-22 05:31:13-07:00,10.0,8.0,False,,neutral,,,3.25,9.25,,,,,
2026-04-22 06:19:31-07:00,DynamicEngine3,SHORT,7141.0,7151.0,-10.0,-151.86,3,2862682458,2862682457,2026-04-22 05:51:01-07:00,25.0,10.0,False,,calm_trend,,,3.75,11.5,,,,,
2026-04-22 06:33:20-07:00,DynamicEngine3,SHORT,7145.25,7147.25,-2.25,-24.36,2,2863107118,2862917484,2026-04-22 06:22:18-07:00,25.0,10.0,False,,neutral,,,4.5,8.25,,,,,
2026-04-22 07:05:19-07:00,DynamicEngine3,LONG,7146.75,7150.0,3.25,15.63,1,2863107120,2863107118,2026-04-22 06:33:20-07:00,20.0,8.0,False,,calm_trend,,,10.75,6.75,,,,,
2026-04-22 09:32:21-07:00,DynamicEngine3,SHORT,7149.25,7149.75,-1.25,-22.47,3,2866090298,2866083471,2026-04-22 09:31:17-07:00,8.25,10.0,False,,calm_trend,,,1.75,7.5,,,,,
2026-04-22 09:37:32-07:00,DynamicEngine3,SHORT,7150.25,7150.5,-0.25,-5.61,3,2866107274,2866107273,2026-04-22 09:34:15-07:00,7.0,10.0,False,,neutral,,,4.0,5.25,,,,,
2026-04-22 09:39:22-07:00,DynamicEngine3,SHORT,7151.5,7151.75,-0.5,-11.22,3,2866141462,2866138056,2026-04-22 09:38:17-07:00,7.0,10.0,False,,calm_trend,,,4.5,4.75,,,,,
2026-04-22 09:42:23-07:00,DynamicEngine3,SHORT,7153.25,7154.75,-0.75,-14.97,3,2866165191,2866151836,2026-04-22 09:40:16-07:00,8.5,10.0,False,,calm_trend,,,7.25,8.75,,,,,
2026-04-22 09:46:17-07:00,DynamicEngine3,SHORT,7150.25,7149.25,1.0,13.14,3,2866179521,2866179520,2026-04-22 09:43:17-07:00,8.75,10.0,False,,calm_trend,,,2.75,13.25,,,,,
2026-04-22 16:59:18-07:00,DynamicEngine3,LONG,7162.0,7162.75,0.75,9.39,3,2867580377,2867580376,2026-04-22 15:08:15-07:00,25.0,10.0,False,,calm_trend,,,1.0,4.0,,,,,
2026-04-22 17:09:57-07:00,DynamicEngine3,LONG,7159.0,7149.0,-10.0,-50.62,1,2867944822,2867944820,2026-04-22 17:06:16-07:00,25.0,10.0,False,,calm_trend,,,1.5,52.5,,,,,
2026-04-22 17:13:02-07:00,DynamicEngine3,LONG,7145.75,7135.75,-10.0,-151.86,3,2867978193,2867978192,,,,False,,calm_trend,,,,,,,,,
2026-04-22 17:15:21-07:00,DynamicEngine3,LONG,7129.75,7119.75,-10.0,-151.86,3,2868032544,2868032543,2026-04-22 17:14:16-07:00,25.0,10.0,False,,calm_trend,,,27.5,25.25,,,,,
2026-04-23 00:46:24-07:00,DynamicEngine3,LONG,7141.5,7143.5,2.0,28.14,3,2869606044,2869606043,2026-04-23 00:41:16-07:00,12.5,10.0,False,,calm_trend,,,7.25,4.0,,,,,
2026-04-23 01:07:20-07:00,DynamicEngine3,LONG,7141.25,7140.5,-0.75,-4.37,1,2869666714,2869666713,2026-04-23 00:41:16-07:00,12.5,10.0,False,,calm_trend,,,7.25,4.0,,,,,
2026-04-23 01:29:22-07:00,DynamicEngine3,LONG,7139.0,7141.5,2.5,11.88,1,2869671991,2869671990,2026-04-23 01:08:14-07:00,25.0,10.0,False,,neutral,,,7.75,1.75,,,,,
2026-04-23 01:51:56-07:00,DynamicEngine3,LONG,7140.75,7130.75,-10.0,-50.62,1,2869737785,2869737784,2026-04-23 01:36:15-07:00,25.0,10.0,False,,calm_trend,,,0.0,13.5,,,,,
2026-04-23 02:13:58-07:00,DynamicEngine3,LONG,7127.5,7127.5,0.0,-0.62,1,2869812450,2869812449,2026-04-23 02:06:16-07:00,25.0,10.0,False,,calm_trend,,,13.25,1.5,,,,,
2026-04-23 03:22:20-07:00,DynamicEngine3,LONG,7131.5,7132.25,0.75,6.26,2,2869949560,2869949559,2026-04-23 03:16:15-07:00,25.0,10.0,False,,calm_trend,,,10.75,1.25,,,,,
2026-04-23 03:29:49-07:00,DynamicEngine3,LONG,7132.75,7134.5,1.75,24.39,3,2869964988,2869964987,2026-04-23 03:23:15-07:00,25.0,10.0,False,,calm_trend,,,9.25,0.0,,,,,
2026-04-23 03:38:25-07:00,DynamicEngine3,LONG,7134.5,7138.0,3.5,50.64,3,2869980676,2869980675,2026-04-23 03:30:15-07:00,25.0,10.0,False,,calm_trend,,,9.25,0.0,,,,,
2026-04-23 04:32:25-07:00,DynamicEngine3,LONG,7138.75,7138.0,-0.75,-8.74,2,2870127132,2870127131,2026-04-23 04:31:17-07:00,25.0,10.0,False,,calm_trend,,,25.0,3.75,,,,,
2026-04-23 04:39:00-07:00,DynamicEngine3,LONG,7135.5,7138.0,2.5,23.76,2,2870131962,2870131961,,,,False,,neutral,,,,,,,,,
2026-04-23 04:40:21-07:00,DynamicEngine3,LONG,7138.5,7139.0,0.5,3.76,2,2870154258,2870154257,2026-04-23 04:39:17-07:00,10.0,8.0,False,,neutral,,,31.25,0.25,,,,,
2026-04-23 05:30:29-07:00,DynamicEngine3,LONG,7138.5,7163.5,25.0,373.14,3,2870159291,2870159289,2026-04-23 04:41:15-07:00,25.0,10.0,False,,calm_trend,,,30.5,0.0,,,,,
2026-04-23 05:32:21-07:00,DynamicEngine3,LONG,7160.0,7160.0,0.0,-1.86,3,2870384332,2870384331,2026-04-23 05:31:20-07:00,25.0,10.0,False,,calm_trend,,,2.25,23.0,,,,,
2026-04-23 05:46:00-07:00,DynamicEngine3,LONG,7159.5,7149.5,-10.0,-101.24,2,2870396567,2870396566,2026-04-23 05:33:16-07:00,25.0,10.0,False,,neutral,,,1.25,23.75,,,,,
2026-04-23 06:02:01-07:00,DynamicEngine3,LONG,7151.25,7152.5,1.25,11.26,2,2870464134,2870464133,2026-04-23 05:47:16-07:00,10.0,8.0,False,,calm_trend,,,3.25,9.75,,,,,
2026-04-23 06:33:22-07:00,DynamicEngine3,LONG,7157.0,7155.5,-1.5,-8.12,1,2870774780,2870774778,,,,False,,calm_trend,,,,,,,,,
2026-04-23 06:40:28-07:00,DynamicEngine3,LONG,7157.5,7160.25,2.25,10.01,1,2870967639,2870897568,2026-04-23 06:37:15-07:00,20.0,8.0,False,,calm_trend,,,13.0,9.0,,,,,
2026-04-23 06:43:45-07:00,DynamicEngine3,LONG,7160.25,7162.0,1.75,8.13,1,2871045438,2871009272,2026-04-23 06:41:19-07:00,20.0,8.0,False,,calm_trend,,,9.75,12.25,,,,,
2026-04-23 06:51:24-07:00,DynamicEngine3,SHORT,7163.0,7163.25,-0.25,-3.74,2,2871276278,2871067577,2026-04-23 06:44:15-07:00,12.5,10.0,False,,neutral,,,13.75,8.25,,,,,
2026-04-23 06:53:35-07:00,DynamicEngine3,LONG,7163.5,7163.75,0.25,0.63,1,2871284135,2871284134,,,,False,,neutral,,,,,,,,,
2026-04-23 07:00:41-07:00,DynamicEngine3,LONG,7163.5,7155.5,-8.0,-121.86,3,2871367205,2871367204,2026-04-23 06:55:04-07:00,20.0,8.0,False,,calm_trend,,,3.5,14.75,,,,,
2026-04-23 07:06:35-07:00,DynamicEngine3,LONG,7155.25,7157.5,2.25,10.63,1,2871602009,2871602008,2026-04-23 06:32:19-07:00,20.0,8.0,False,,neutral,,,15.75,6.25,,,,,
2026-04-23 07:53:23-07:00,DynamicEngine3,SHORT,7162.5,7172.5,-10.0,-101.24,2,2872130127,2872130125,2026-04-23 06:44:15-07:00,12.5,10.0,False,,calm_trend,,,13.75,8.25,,,,,
2026-04-23 09:05:18-07:00,DynamicEngine3,LONG,7170.5,7160.5,-10.0,-50.62,1,2872570852,2872570851,,,,False,,neutral,,,,,,,,,
2026-04-23 10:19:03-07:00,DynamicEngine3,SHORT,7127.0,7124.5,2.5,35.64,3,2874117493,2874078176,,,,False,,calm_trend,,,,,,,,,
2026-04-23 10:30:28-07:00,DynamicEngine3,SHORT,7121.75,7118.5,3.25,46.89,3,2874173322,2874173321,,,,False,,neutral,,,,,,,,,
2026-04-23 10:35:02-07:00,DynamicEngine3,SHORT,7121.25,7131.25,-10.0,-151.86,3,2874281351,2874281350,,,,False,,neutral,,,,,,,,,
2026-04-23 10:36:44-07:00,DynamicEngine3,SHORT,7131.25,7122.25,9.0,133.14,3,2874312047,2874312045,,,,False,,calm_trend,,,,,,,,,
2026-04-23 10:39:05-07:00,DynamicEngine3,SHORT,7115.0,7116.75,-1.75,-28.11,3,2874359363,2874341293,,,,False,,calm_trend,,,,,,,,,
2026-04-23 10:40:24-07:00,DynamicEngine3,SHORT,7116.25,7109.25,7.0,103.14,3,2874361669,2874361666,2026-04-23 10:39:22-07:00,7.0,10.0,False,,neutral,,,37.0,20.5,,,,,
