ts,side,entry,gap_pct,outcome,pnl_pts,pnl_dollars_gross,pnl_dollars_net,long_prob,short_prob,period
2023-09-20,SHORT,4605.5,0.0254954353150747,1,13.816499999999905,690.8249999999953,675.8249999999953,0.0,0.0,biden
2023-09-21,LONG,4415.75,-0.006803868645973932,1,13.24724999999944,662.362499999972,647.362499999972,0.0,0.0,biden
2023-09-28,LONG,4307.25,-0.012551581843191162,1,12.92174999999952,646.087499999976,631.087499999976,0.0,0.0,biden
2023-09-29,SHORT,4369.75,0.007260992335619276,-1,-17.47900000000027,-873.9500000000135,-888.9500000000135,0.0,0.0,biden
2023-10-04,SHORT,4316.75,0.012727272727272698,1,12.950249999999869,647.5124999999935,632.5124999999935,0.0,0.0,biden
2023-10-06,LONG,4265.25,-0.006406149903907754,1,12.795749999999316,639.7874999999658,624.7874999999658,0.0,0.0,biden
2023-10-09,LONG,4321.75,-0.0157708950125256,1,12.965249999999287,648.2624999999643,633.2624999999643,0.0,0.0,biden
2023-10-12,SHORT,4460.75,0.011794726396370914,1,13.382249999999658,669.1124999999829,654.1124999999829,0.0,0.0,biden
2023-10-17,LONG,4369.25,-0.017925376489098643,1,13.107749999999214,655.3874999999607,640.3874999999607,0.0,0.0,biden
2023-10-20,SHORT,4342.5,0.0095315587585727,1,13.027500000000146,651.3750000000073,636.3750000000073,0.0,0.0,biden
2023-10-27,LONG,4172.75,-0.006488095238095237,1,12.51824999999917,625.9124999999585,610.9124999999585,0.0,0.0,biden
2023-10-30,SHORT,4215.0,0.0186080231996133,1,12.645000000000437,632.2500000000218,617.2500000000218,0.0,0.0,biden
2023-11-02,SHORT,4342.0,0.009004821936908103,1,13.02599999999984,651.299999999992,636.299999999992,0.0,0.0,biden
2023-11-03,SHORT,4359.5,0.005883710198431036,-1,-17.438000000000102,-871.9000000000051,-886.9000000000051,0.0,0.0,biden
2023-11-13,LONG,4415.5,-0.025275938189845526,1,13.246499999999287,662.3249999999643,647.3249999999643,0.0,0.0,biden
2023-11-17,SHORT,4572.25,0.011224151277231087,1,13.716749999999593,685.8374999999796,670.8374999999796,0.0,0.0,biden
2023-11-21,LONG,4550.0,-0.013496666485988351,1,13.649999999999636,682.4999999999818,667.4999999999818,0.0,0.0,biden
2023-11-22,SHORT,4670.0,0.026148099318830997,1,14.010000000000218,700.5000000000109,685.5000000000109,0.0,0.0,biden
2023-11-24,SHORT,4615.25,0.010012036327825768,1,13.845750000000407,692.2875000000204,677.2875000000204,0.0,0.0,biden
2023-11-27,LONG,4561.25,-0.012181916621548439,1,13.683749999999236,684.1874999999618,669.1874999999618,0.0,0.0,biden
2023-11-30,LONG,4566.25,-0.019907705516205243,1,13.698749999999563,684.9374999999782,669.9374999999782,0.0,0.0,biden
2023-12-01,SHORT,4667.0,0.009135628952916308,1,14.001000000000204,700.0500000000102,685.0500000000102,0.0,0.0,biden
2023-12-05,SHORT,4611.5,0.0073726175522910165,1,13.834499999999935,691.7249999999967,676.7249999999967,0.0,0.0,biden
2023-12-07,SHORT,4626.5,0.015474100087796261,1,13.879500000000007,693.9750000000004,678.9750000000004,0.0,0.0,biden
2023-12-12,SHORT,4672.75,0.009996757808278467,1,14.01825000000008,700.912500000004,685.912500000004,0.0,0.0,biden
2023-12-18,LONG,4782.0,-0.008346726113328873,1,14.345999999999549,717.2999999999774,702.2999999999774,0.0,0.0,biden
2023-12-21,SHORT,4836.75,0.017834595959596022,1,14.51025000000027,725.5125000000135,710.5125000000135,0.0,0.0,biden
2023-12-27,LONG,4822.25,-0.010820512820512773,1,14.466749999999593,723.3374999999796,708.3374999999796,0.0,0.0,biden
2024-01-02,LONG,4834.75,-0.007747562852745027,-1,-19.338999999999942,-966.9499999999971,-981.9499999999971,0.0,0.0,biden
2024-01-08,SHORT,4790.75,0.01161378873462482,1,14.37225000000035,718.6125000000175,703.6125000000175,0.0,0.0,biden
2024-01-09,LONG,4773.0,-0.0060391503540191405,1,14.318999999999505,715.9499999999753,700.9499999999753,0.0,0.0,biden
2024-01-10,SHORT,4848.5,0.011579386605466313,1,14.545500000000175,727.2750000000087,712.2750000000087,0.0,0.0,biden
2024-01-11,LONG,4827.0,-0.0097953741217498,1,14.480999999999767,724.0499999999884,709.0499999999884,0.0,0.0,biden
2024-01-17,LONG,4766.0,-0.017319587628865984,1,14.297999999999774,714.8999999999887,699.8999999999887,0.0,0.0,biden
2024-01-18,LONG,4786.0,-0.008134293559919126,1,14.357999999999265,717.8999999999633,702.8999999999633,0.0,0.0,biden
2024-02-02,LONG,4933.0,-0.010133440353165435,1,14.798999999999069,739.9499999999534,724.9499999999534,0.0,0.0,biden
2024-02-05,LONG,5026.25,-0.012524557956777982,-1,-20.104999999999563,-1005.2499999999782,-1020.2499999999782,0.0,0.0,biden
2024-02-06,SHORT,5030.0,0.013908486192300007,1,15.090000000000146,754.5000000000073,739.5000000000073,0.0,0.0,biden
2024-02-07,SHORT,5054.5,0.005020629318486902,1,15.163499999999658,758.1749999999829,743.1749999999829,0.0,0.0,biden
2024-02-08,LONG,5013.25,-0.011485753721778513,1,15.039749999999003,751.9874999999502,736.9874999999502,0.0,0.0,biden
2024-02-12,LONG,5043.0,-0.011564092512740154,1,15.128999999999905,756.4499999999953,741.4499999999953,0.0,0.0,biden
2024-02-13,LONG,5033.0,-0.013137254901960826,-1,-20.131999999999607,-1006.5999999999804,-1021.5999999999804,0.0,0.0,biden
2024-02-14,SHORT,4997.25,0.00512897872982343,-1,-19.988999999999578,-999.4499999999789,-1014.4499999999789,0.0,0.0,biden
